Year,Facility ID,Hospital Name,Hospital County,Hospital Region,IQI Code,IQI Value,Total Cases,Numerator,Observed Rate,Expected Rate,Risk Adjusted Rate,Lower 95CI RAR,Upper 95CI RAR,Compare to State,Compare to National
2014,1,ALBANY MEDICAL CENTER HOSPITAL,Albany,Captal/Adiron,IQI33,"Primary Cesarean Delivery Rate, Uncomplicated",1212,245,202.15,,,,,,
2014,1,ALBANY MEDICAL CENTER HOSPITAL,Albany,Captal/Adiron,IQI20,Pneumonia Mortality Rate,223,6,26.91,20.91,52.08,19.11,113.35,NS,NS
2014,1,ALBANY MEDICAL CENTER HOSPITAL,Albany,Captal/Adiron,IQI11,Abdominal Aortic Aneurysm (AAA) Repair Mortality Rate,190,5,26.32,24.39,39.66,12.88,92.55,NS,NS
2014,1,ALBANY MEDICAL CENTER HOSPITAL,Albany,Captal/Adiron,IQI32,"Acute Myocardial Infarction (AMI) Mortality Rate, Without Transfer Cases",277,22,79.42,50.56,105.11,65.87,159.14,NS,NS
2014,1,ALBANY MEDICAL CENTER HOSPITAL,Albany,Captal/Adiron,IQI15,Acute Myocardial Infarction (AMI) Mortality Rate,498,37,74.3,47.2,98.39,69.27,135.62,Above,Above
2014,1,ALBANY MEDICAL CENTER HOSPITAL,Albany,Captal/Adiron,IQI24,Incidental Appendectomy in the Elderly Rate,436,2,4.59,,,,,,
2014,1,ALBANY MEDICAL CENTER HOSPITAL,Albany,Captal/Adiron,IQI25,Bilateral Cardiac Catheterization Rate,848,2,2.36,,,,,,
2014,1,ALBANY MEDICAL CENTER HOSPITAL,Albany,Captal/Adiron,IQI34,"Vaginal Birth After Cesarean (VBAC) Rate, All",422,84,199.05,,,,,,
2014,1,ALBANY MEDICAL CENTER HOSPITAL,Albany,Captal/Adiron,IQI19,Hip Fracture Mortality Rate,121,4,33.06,16.11,61.5,16.76,157.47,NS,NS
2014,1,ALBANY MEDICAL CENTER HOSPITAL,Albany,Captal/Adiron,IQI18,Gastrointestinal Hemorrhage Mortality Rate,350,8,22.86,19.79,30.86,13.33,60.82,NS,NS
2014,1,ALBANY MEDICAL CENTER HOSPITAL,Albany,Captal/Adiron,IQI11D,Abdominal Aortic Aneurysm (AAA) Repair Mortality Rate - Unruptured Endovascular,160,2,12.5,4.25,34.44,4.17,124.41,NS,NS
2014,1,ALBANY MEDICAL CENTER HOSPITAL,Albany,Captal/Adiron,IQI14,Hip Replacement Mortality Rate,465,1,2.15,0.28,3.89,0.1,21.69,NS,NS
2014,1,ALBANY MEDICAL CENTER HOSPITAL,Albany,Captal/Adiron,IQI16,Heart Failure Mortality Rate,487,15,30.8,26.32,46.8,26.19,77.18,NS,NS
2014,1,ALBANY MEDICAL CENTER HOSPITAL,Albany,Captal/Adiron,IQI21,"Cesarean Delivery Rate, Uncomplicated",1565,523,334.19,,,,,,
2014,1,ALBANY MEDICAL CENTER HOSPITAL,Albany,Captal/Adiron,IQI31,Carotid Endarterectomy Mortality Rate,172,1,5.81,3.8,5.28,0.13,29.43,NS,NS
2014,1,ALBANY MEDICAL CENTER HOSPITAL,Albany,Captal/Adiron,IQI22,"Vaginal Birth After Cesarean (VBAC) Delivery Rate, Uncomplicated",353,75,212.46,,,,,,
2014,1,ALBANY MEDICAL CENTER HOSPITAL,Albany,Captal/Adiron,IQI23,Laparoscopic Cholecystectomy Rate,150,117,780,,,,,,
2014,1,ALBANY MEDICAL CENTER HOSPITAL,Albany,Captal/Adiron,IQI13,Craniotomy Mortality Rate,580,35,60.34,26.48,125.99,87.76,175.22,Above,Above
2014,4,ALBANY MEMORIAL HOSPITAL,Albany,Captal/Adiron,IQI23,Laparoscopic Cholecystectomy Rate,43,42,976.74,,,,,,
2014,4,ALBANY MEMORIAL HOSPITAL,Albany,Captal/Adiron,IQI24,Incidental Appendectomy in the Elderly Rate,66,3,45.45,,,,,,
2014,4,ALBANY MEMORIAL HOSPITAL,Albany,Captal/Adiron,IQI18,Gastrointestinal Hemorrhage Mortality Rate,99,0,0,15.03,0,0,6.52,Below,Below
2014,4,ALBANY MEMORIAL HOSPITAL,Albany,Captal/Adiron,IQI19,Hip Fracture Mortality Rate,62,0,0,18.81,0,0,5.84,Below,Below
2014,4,ALBANY MEMORIAL HOSPITAL,Albany,Captal/Adiron,IQI16,Heart Failure Mortality Rate,126,8,63.49,43.33,58.6,25.3,115.47,NS,NS
2014,4,ALBANY MEMORIAL HOSPITAL,Albany,Captal/Adiron,IQI20,Pneumonia Mortality Rate,129,2,15.5,27.81,22.57,2.73,81.52,NS,NS
2014,5,ST PETERS HOSPITAL,Albany,Captal/Adiron,IQI14,Hip Replacement Mortality Rate,663,0,0,0.44,0,0,4.19,NS,NS
2014,5,ST PETERS HOSPITAL,Albany,Captal/Adiron,IQI18,Gastrointestinal Hemorrhage Mortality Rate,331,4,12.08,21.98,14.69,4,37.61,NS,NS
2014,5,ST PETERS HOSPITAL,Albany,Captal/Adiron,IQI24,Incidental Appendectomy in the Elderly Rate,484,10,20.66,,,,,,
2014,5,ST PETERS HOSPITAL,Albany,Captal/Adiron,IQI19,Hip Fracture Mortality Rate,167,4,23.95,18.28,39.25,10.7,100.51,NS,NS
2014,5,ST PETERS HOSPITAL,Albany,Captal/Adiron,IQI09,Pancreatic Resection Mortality Rate,57,0,0,18.51,0,0,3.91,Below,Below
2014,5,ST PETERS HOSPITAL,Albany,Captal/Adiron,IQI33,"Primary Cesarean Delivery Rate, Uncomplicated",1969,371,188.42,,,,,,
2014,5,ST PETERS HOSPITAL,Albany,Captal/Adiron,IQI15,Acute Myocardial Infarction (AMI) Mortality Rate,615,25,40.65,48.18,52.73,34.12,77.84,NS,NS
2014,5,ST PETERS HOSPITAL,Albany,Captal/Adiron,IQI32,"Acute Myocardial Infarction (AMI) Mortality Rate, Without Transfer Cases",371,13,35.04,50.58,46.36,24.68,79.27,NS,NS
2014,5,ST PETERS HOSPITAL,Albany,Captal/Adiron,IQI09A,Pancreatic Resection Mortality Rate with Pancreatic Cancer Dx,33,0,0,14.48,0,0,4.36,Below,Below
2014,5,ST PETERS HOSPITAL,Albany,Captal/Adiron,IQI25,Bilateral Cardiac Catheterization Rate,897,11,12.26,,,,,,
2014,5,ST PETERS HOSPITAL,Albany,Captal/Adiron,IQI23,Laparoscopic Cholecystectomy Rate,172,142,825.58,,,,,,
2014,5,ST PETERS HOSPITAL,Albany,Captal/Adiron,IQI11D,Abdominal Aortic Aneurysm (AAA) Repair Mortality Rate - Unruptured Endovascular,32,0,0,2.42,0,0,17.75,NS,NS
2014,5,ST PETERS HOSPITAL,Albany,Captal/Adiron,IQI16,Heart Failure Mortality Rate,681,14,20.56,29.89,27.51,15.04,46.16,NS,NS
2014,5,ST PETERS HOSPITAL,Albany,Captal/Adiron,IQI11,Abdominal Aortic Aneurysm (AAA) Repair Mortality Rate,36,0,0,7.74,0,0,17.41,Below,Below
2014,5,ST PETERS HOSPITAL,Albany,Captal/Adiron,IQI22,"Vaginal Birth After Cesarean (VBAC) Delivery Rate, Uncomplicated",360,56,155.56,,,,,,
2014,5,ST PETERS HOSPITAL,Albany,Captal/Adiron,IQI34,"Vaginal Birth After Cesarean (VBAC) Rate, All",397,60,151.13,,,,,,
2014,5,ST PETERS HOSPITAL,Albany,Captal/Adiron,IQI20,Pneumonia Mortality Rate,302,12,39.74,38.63,41.63,21.51,72.72,NS,NS
2014,5,ST PETERS HOSPITAL,Albany,Captal/Adiron,IQI31,Carotid Endarterectomy Mortality Rate,75,0,0,8.06,0,0,1.57,Below,Below
2014,5,ST PETERS HOSPITAL,Albany,Captal/Adiron,IQI21,"Cesarean Delivery Rate, Uncomplicated",2329,675,289.82,,,,,,
2014,5,ST PETERS HOSPITAL,Albany,Captal/Adiron,IQI13,Craniotomy Mortality Rate,76,3,39.47,19.85,109.92,22.67,321.23,NS,NS
2014,37,CUBA MEMORIAL HOSPITAL INC,Allegany,Western NY,IQI20,Pneumonia Mortality Rate,31,0,0,6.98,0,0,21.28,Below,Below
2014,39,MEMORIAL HOSP OF WM F & GERTRUDE F JONES A/K/A JONES MEMORIAL HOSP,Allegany,Western NY,IQI22,"Vaginal Birth After Cesarean (VBAC) Delivery Rate, Uncomplicated",55,2,36.36,,,,,,
2014,39,MEMORIAL HOSP OF WM F & GERTRUDE F JONES A/K/A JONES MEMORIAL HOSP,Allegany,Western NY,IQI20,Pneumonia Mortality Rate,70,1,14.29,19.81,29.19,0.74,162.66,NS,NS
2014,39,MEMORIAL HOSP OF WM F & GERTRUDE F JONES A/K/A JONES MEMORIAL HOSP,Allegany,Western NY,IQI34,"Vaginal Birth After Cesarean (VBAC) Rate, All",62,2,32.26,,,,,,
2014,39,MEMORIAL HOSP OF WM F & GERTRUDE F JONES A/K/A JONES MEMORIAL HOSP,Allegany,Western NY,IQI21,"Cesarean Delivery Rate, Uncomplicated",305,91,298.36,,,,,,
2014,39,MEMORIAL HOSP OF WM F & GERTRUDE F JONES A/K/A JONES MEMORIAL HOSP,Allegany,Western NY,IQI18,Gastrointestinal Hemorrhage Mortality Rate,44,1,22.73,27.96,21.72,0.55,121.01,NS,NS
2014,39,MEMORIAL HOSP OF WM F & GERTRUDE F JONES A/K/A JONES MEMORIAL HOSP,Allegany,Western NY,IQI33,"Primary Cesarean Delivery Rate, Uncomplicated",250,38,152,,,,,,
2014,39,MEMORIAL HOSP OF WM F & GERTRUDE F JONES A/K/A JONES MEMORIAL HOSP,Allegany,Western NY,IQI16,Heart Failure Mortality Rate,101,3,29.7,23.56,50.42,10.4,147.34,NS,NS
2014,42,UNITED HEALTH SERVICES HOSPITALS INC. - BINGHAMTON GENERAL HOSPITAL,Broome,Central NY,IQI18,Gastrointestinal Hemorrhage Mortality Rate,49,0,0,15.07,0,0,6.5,Below,Below
2014,42,UNITED HEALTH SERVICES HOSPITALS INC. - BINGHAMTON GENERAL HOSPITAL,Broome,Central NY,IQI19,Hip Fracture Mortality Rate,69,4,57.97,8.95,194.04,52.87,496.81,Above,Above
2014,42,UNITED HEALTH SERVICES HOSPITALS INC. - BINGHAMTON GENERAL HOSPITAL,Broome,Central NY,IQI16,Heart Failure Mortality Rate,80,3,37.5,26.28,57.08,11.77,166.8,NS,NS
2014,42,UNITED HEALTH SERVICES HOSPITALS INC. - BINGHAMTON GENERAL HOSPITAL,Broome,Central NY,IQI20,Pneumonia Mortality Rate,67,1,14.93,25.59,23.6,0.6,131.52,NS,NS
2014,42,UNITED HEALTH SERVICES HOSPITALS INC. - BINGHAMTON GENERAL HOSPITAL,Broome,Central NY,IQI14,Hip Replacement Mortality Rate,185,0,0,0.14,0,0,12.83,NS,NS
2014,43,OUR LADY OF LOURDES MEMORIAL HOSPITAL INC,Broome,Central NY,IQI22,"Vaginal Birth After Cesarean (VBAC) Delivery Rate, Uncomplicated",159,8,50.31,,,,,,
2014,43,OUR LADY OF LOURDES MEMORIAL HOSPITAL INC,Broome,Central NY,IQI14,Hip Replacement Mortality Rate,159,0,0,0.15,0,0,12.58,NS,NS
2014,43,OUR LADY OF LOURDES MEMORIAL HOSPITAL INC,Broome,Central NY,IQI18,Gastrointestinal Hemorrhage Mortality Rate,180,7,38.89,17.14,60.62,24.37,124.9,NS,NS
2014,43,OUR LADY OF LOURDES MEMORIAL HOSPITAL INC,Broome,Central NY,IQI23,Laparoscopic Cholecystectomy Rate,86,83,965.12,,,,,,
2014,43,OUR LADY OF LOURDES MEMORIAL HOSPITAL INC,Broome,Central NY,IQI34,"Vaginal Birth After Cesarean (VBAC) Rate, All",171,8,46.78,,,,,,
2014,43,OUR LADY OF LOURDES MEMORIAL HOSPITAL INC,Broome,Central NY,IQI16,Heart Failure Mortality Rate,312,16,51.28,35.37,57.99,33.14,94.17,NS,NS
2014,43,OUR LADY OF LOURDES MEMORIAL HOSPITAL INC,Broome,Central NY,IQI20,Pneumonia Mortality Rate,298,6,20.13,27.08,30.09,11.04,65.49,NS,NS
2014,43,OUR LADY OF LOURDES MEMORIAL HOSPITAL INC,Broome,Central NY,IQI32,"Acute Myocardial Infarction (AMI) Mortality Rate, Without Transfer Cases",92,8,86.96,111.58,52.14,22.51,102.74,NS,NS
2014,43,OUR LADY OF LOURDES MEMORIAL HOSPITAL INC,Broome,Central NY,IQI19,Hip Fracture Mortality Rate,107,2,18.69,11.79,47.5,5.75,171.58,NS,NS
2014,43,OUR LADY OF LOURDES MEMORIAL HOSPITAL INC,Broome,Central NY,IQI21,"Cesarean Delivery Rate, Uncomplicated",1096,300,273.72,,,,,,
2014,43,OUR LADY OF LOURDES MEMORIAL HOSPITAL INC,Broome,Central NY,IQI33,"Primary Cesarean Delivery Rate, Uncomplicated",937,149,159.02,,,,,,
2014,43,OUR LADY OF LOURDES MEMORIAL HOSPITAL INC,Broome,Central NY,IQI15,Acute Myocardial Infarction (AMI) Mortality Rate,92,8,86.96,111.64,48.68,21.02,95.93,NS,NS
2014,43,OUR LADY OF LOURDES MEMORIAL HOSPITAL INC,Broome,Central NY,IQI24,Incidental Appendectomy in the Elderly Rate,140,1,7.14,,,,,,
2014,58,UNITED HEALTH SERVICES HOSPITALS INC. - WILSON MEDICAL CENTER,Broome,Central NY,IQI13,Craniotomy Mortality Rate,219,13,59.36,32.33,101.52,54.05,173.6,NS,NS
2014,58,UNITED HEALTH SERVICES HOSPITALS INC. - WILSON MEDICAL CENTER,Broome,Central NY,IQI23,Laparoscopic Cholecystectomy Rate,117,96,820.51,,,,,,
2014,58,UNITED HEALTH SERVICES HOSPITALS INC. - WILSON MEDICAL CENTER,Broome,Central NY,IQI11D,Abdominal Aortic Aneurysm (AAA) Repair Mortality Rate - Unruptured Endovascular,47,0,0,1.23,0,0,34.78,NS,NS
2014,58,UNITED HEALTH SERVICES HOSPITALS INC. - WILSON MEDICAL CENTER,Broome,Central NY,IQI31,Carotid Endarterectomy Mortality Rate,76,0,0,2,0,0,6.35,NS,NS
2014,58,UNITED HEALTH SERVICES HOSPITALS INC. - WILSON MEDICAL CENTER,Broome,Central NY,IQI21,"Cesarean Delivery Rate, Uncomplicated",1267,424,334.65,,,,,,
2014,58,UNITED HEALTH SERVICES HOSPITALS INC. - WILSON MEDICAL CENTER,Broome,Central NY,IQI34,"Vaginal Birth After Cesarean (VBAC) Rate, All",345,38,110.14,,,,,,
